Jenis Kelamin;Usia;Pekerjaan;Tempat Tinggal
Pria;19;Swasta;Bawah
Wanita;20;Swasta;Bawah
Pria;20;Mahasiswa;Atas
Wanita;34;PNS;Atas
Pria;45;Lainnya;Bawah
Pria;49;PNS;Bawah
Pria;22;Mahasiswa;Bawah
Pria;39;PNS;Bawah
Wanita;29;Lainnya;Atas
Wanita;41;PNS;Atas
Pria;47;PNS;Bawah
Pria;20;PNS;Bawah
Pria;23;Lainnya;Bawah
Pria;37;Swasta;Bawah
Wanita;29;Swasta;Bawah
Pria;31;Swasta;Bawah
Pria;33;Lainnya;Bawah
Pria;55;Lainnya;Atas
Wanita;34;Swasta;Atas
Pria;38;PNS;Bawah
Pria;19;Mahasiswa;Atas
Pria;22;Mahasiswa;Bawah
Wanita;34;Swasta;Atas
Wanita;39;Swasta;Bawah
Wanita;23;Mahasiswa;Bawah
Wanita;40;Swasta;Atas
Wanita;15;Lainnya;Atas
Pria;24;Lainnya;Atas
Pria;29;PNS;Bawah
Pria;28;Swasta;Bawah
Pria;35;Swasta;Bawah